Type,Localisation,Price,City,Area,Rooms,Bedrooms,Bathrooms,Floor,Current_state,Age
Appartements,Gauthier ,3800000.0,Casablanca,347.0,4.0,3.0,3.0,6.0,Non Specifique,Non Specifique
Appartements,Maârif Extension ,1000000.0,Casablanca,124.0,3.0,2.0,2.0,4.0,Non Specifique,Non Specifique
Appartements,Les Hôpitaux ,2900000.0,Casablanca,214.0,12.0,3.0,2.0,2.0,Non Specifique,Non Specifique
Appartements,Palmier ,3500000.0,Casablanca,262.0,4.0,3.0,3.0,6.0,Non Specifique,Non Specifique
Appartements,Gauthier ,3300000.0,Casablanca,198.0,6.0,4.0,3.0,6.0,Non Specifique,Non Specifique
Appartements,Val Fleury ,2000000.0,Casablanca,124.0,5.0,3.0,2.0,0.0,Non Specifique,Non Specifique
Villas,Ain Diab ,8300000.0,Casablanca,477.0,2.0,1.0,2.0,0.0,Non Specifique,Non Specifique
Appartements,Les princesses ,1760000.0,Casablanca,125.0,3.0,2.0,2.0,0.0,Non Specifique,Non Specifique
Appartements,Bourgogne Ouest ,1007000.0,Casablanca,53.0,2.0,1.0,1.0,5.0,Non Specifique,Non Specifique
Villas,Californie ,60000000.0,Casablanca,5400.0,3.0,5.0,5.0,0.0,Non Specifique,Non Specifique
Villas,Ain Diab Extension ,17000000.0,Casablanca,1430.0,4.0,4.0,4.0,0.0,Non Specifique,Non Specifique
